Temperance,0
Connecticut Valley,0
Ethereal,0
Toxic,0
North High,0
Troegs,0
New Holland,0
Maumee Bay,0
Founders,0
Epic,0
Kona,0
Ballast Point,0
Platform,1
Wyndridge Cider,1
Vandermill Cider,1
Hi Wire,1
Goose Island,1
Virtue,1
Southern Tier,1
Bells,1
Ace,1
Goodwood,1
Erie,1
Abita,1
Avery,1
Dark Horse,1
Knee Deep,1
Darkness,2
Alexandria,2
Wooden Cask,2
Swine City,2
Saucy,2
50 West,2
West 6th,2
Braxton,2
Elysian,3
Golden Road,3
Breckenridge,3
Devil's Backbone,3
Brink Brewing,3
Listermann,3
Municipal,3
Fig Leaf,3
Tin Cap Cidery,3
Upland,3
Paradise,3
13 Below,3
16 Lots,3
Sonder,3
Columbus Brewing,3
Narrow Path,3
Hairless Hare,3
Northern Row,3
Wiedemann's,3
Pretentious Barrel House,3
Altech/KY Ale,3
Harpoor,3
Stiner,3
Boulevard,3
Revolution,3
Stone,3
Brew Dog,3
Madtree,3
Taft's Brewing,4
Fat Head's,4
Delerium Tremens,4
Blakes Cider,4
Bad Tom Smith,4
3 Points,4
Brooklyn,4
Anderson Valley,4
Alaskan,4
21st Amendment,4
Lost Coast,4
Magic Hat,4
Mt.Carmel,4
Victory,4
Sam Adams,4
Narrow Path,4
Uinta,4
Nine Giant,4
Ommegang,4
Moerlien,4
Little Kings,4
Great Lakes,4
Deschutes,4
Guinness,4
Lagunitas,5
Yellow Springs,5
Little Fish,5
Rogue,5
Two Roads,5
Sweetwater,5
Cigar City,5
Terrapin,5
Down East Cider,5
Oskar Blues,5
New Belgium,5
Leinenkugel,5
Sun King,5
The Brew Kettle,6
Gold Horn,6
Wild Ohio,6
Mispillion River,6
Voodoo,6
Sibling Revelry,6
Millersburg,6
Rusty Rail,6
Crazy Mountain,6
Railroad,6
RedHead Cider,6
Cellar Dweller,6
Thirsty Dog,6
Westside,6
Old Nation, 7
Angry Orchard,7
Odd Side,7
Northern Row,7
Sierra Nevada,7
White Claw,8
Warped Wing,8
Jackie O's,8
B. Nektar,8
Heavy Seas,8
Cavalier Belgians,8
Urban Artifact,8
Against the Grain,8
Cavalier,8
Northcoast,8
Streetside,9
March 1st,9
